,original_index,image_path,mask_path,valid
0,0,000454a8-1399-4106-8ae3-c084dfa593d2-b15-otovowms.jpeg,M_000454a8-1399-4106-8ae3-c084dfa593d2-b15-otovowms.jpeg,False
1,1,00081d23-4946-496e-b1af-7aefa4fe259f-b15-otovowms.jpeg,M_00081d23-4946-496e-b1af-7aefa4fe259f-b15-otovowms.jpeg,True
2,2,0008290b-e7aa-4f19-8da3-b36f3d002ada-b15-otovowms.jpeg,M_0008290b-e7aa-4f19-8da3-b36f3d002ada-b15-otovowms.jpeg,True
3,3,00083ae3-b89a-48df-bf76-bf33542a41ab-b15-otovowms.jpeg,M_00083ae3-b89a-48df-bf76-bf33542a41ab-b15-otovowms.jpeg,True
4,4,0009c74a-3a2a-48df-b217-3eb426851a35-b15-otovowms.jpeg,M_0009c74a-3a2a-48df-b217-3eb426851a35-b15-otovowms.jpeg,True
5,5,000abf63-2015-4192-9f0a-319ae735edf9-b15-otovowms.jpeg,M_000abf63-2015-4192-9f0a-319ae735edf9-b15-otovowms.jpeg,True
6,6,000aeecf-1a89-44c3-b097-99503f7293bb-b15-otovowms.jpeg,M_000aeecf-1a89-44c3-b097-99503f7293bb-b15-otovowms.jpeg,False
7,7,000d8664-b332-4bd5-abbe-5016036dc68f-b15-otovowms.jpeg,M_000d8664-b332-4bd5-abbe-5016036dc68f-b15-otovowms.jpeg,True
8,8,000dec53-3fef-4a94-860c-ffdb7bbc3b2a-b15-otovowms.jpeg,M_000dec53-3fef-4a94-860c-ffdb7bbc3b2a-b15-otovowms.jpeg,True
9,9,000e0d21-15a0-422e-a04e-e35bc910894c-b15-otovowms.jpeg,M_000e0d21-15a0-422e-a04e-e35bc910894c-b15-otovowms.jpeg,False
10,10,001381b8-7b9d-4441-82ed-2debcc030320-b15-otovowms.jpeg,M_001381b8-7b9d-4441-82ed-2debcc030320-b15-otovowms.jpeg,True
11,11,0013d718-b4c2-4386-a9cc-bbfe876ea9f8-b15-otovowms.jpeg,M_0013d718-b4c2-4386-a9cc-bbfe876ea9f8-b15-otovowms.jpeg,False
12,12,0013fff4-f5f3-411a-bfb7-d1a544fae2fd-b15-otovowms.jpeg,M_0013fff4-f5f3-411a-bfb7-d1a544fae2fd-b15-otovowms.jpeg,True
13,13,00149e27-12c8-4b74-a20e-caaf00c6875c-b15-otovowms.jpeg,M_00149e27-12c8-4b74-a20e-caaf00c6875c-b15-otovowms.jpeg,True
14,14,00195544-b6e2-4b82-b70a-a802c2466221-b15-otovowms.jpeg,M_00195544-b6e2-4b82-b70a-a802c2466221-b15-otovowms.jpeg,False
15,15,001ba080-c5f5-44b3-95ae-129322c9f568-b15-otovowms.jpeg,M_001ba080-c5f5-44b3-95ae-129322c9f568-b15-otovowms.jpeg,True
16,16,001ea849-7c48-4105-8aad-711d35f68705-b15-otovowms.jpeg,M_001ea849-7c48-4105-8aad-711d35f68705-b15-otovowms.jpeg,True
17,17,002083fa-d7b7-4b2e-bdc8-dc110e4f1016-b15-otovowms.jpeg,M_002083fa-d7b7-4b2e-bdc8-dc110e4f1016-b15-otovowms.jpeg,False
18,18,0023b1ff-82db-4bfe-b45d-be59959c9b84-b15-otovowms.jpeg,M_0023b1ff-82db-4bfe-b45d-be59959c9b84-b15-otovowms.jpeg,False
19,19,0025404a-c3d7-4126-b2a9-b6fdfa5f6a96-b15-otovowms.jpeg,M_0025404a-c3d7-4126-b2a9-b6fdfa5f6a96-b15-otovowms.jpeg,False
20,20,002803b7-1c62-4e37-ab3a-acb9d3417567-b15-otovowms.jpeg,M_002803b7-1c62-4e37-ab3a-acb9d3417567-b15-otovowms.jpeg,False
21,21,002836d4-30b8-4496-85de-5a7bb4554cc3-b15-otovowms.jpeg,M_002836d4-30b8-4496-85de-5a7bb4554cc3-b15-otovowms.jpeg,False
22,22,0029e194-e98b-4043-9bd2-3230f5559b75-b15-otovowms.jpeg,M_0029e194-e98b-4043-9bd2-3230f5559b75-b15-otovowms.jpeg,True
23,23,002a0114-0a11-4d50-9b6b-4ac0151d7458-b15-otovowms.jpeg,M_002a0114-0a11-4d50-9b6b-4ac0151d7458-b15-otovowms.jpeg,False
24,24,002a8ce6-a4fe-4246-a4af-5e7ac425701e-b15-otovowms.jpeg,M_002a8ce6-a4fe-4246-a4af-5e7ac425701e-b15-otovowms.jpeg,False
